,Corsa 0,Corsa 1,Corsa 2,Corsa 3,Corsa 4,Corsa 5,Corsa 6,Corsa 7,Corsa 8,Corsa 9,Corsa 10,Corsa 11,Corsa 12,Corsa 13,Corsa 14,Corsa 15,Corsa 16,Corsa 17,Corsa 18,Corsa 19,Corsa 20,Corsa 21,Corsa 22,Corsa 23,Corsa 24,Corsa 25,Corsa 26,Corsa 27,Corsa 28,Corsa 29,Corsa 30,Corsa 31,Corsa 32,Corsa 33,Corsa 34,Corsa 35,Corsa 36,Corsa 37,Corsa 38,Corsa 39,Corsa 40,Corsa 41,Corsa 42,Corsa 43,Corsa 44,Corsa 45,Corsa 46,Corsa 47,Corsa 48,Corsa 49,Corsa 50,Corsa 51,Corsa 52,Corsa 53,Corsa 54,Corsa 55,Corsa 56,Corsa 57,Corsa 58,Corsa 59,Corsa 60,Corsa 61,Corsa 62,Corsa 63,Corsa 64,Corsa 65,Corsa 66,Corsa 67,Corsa 68,Corsa 69,Corsa 70,Corsa 71,Corsa 72,Corsa 73,Corsa 74,Corsa 75,Corsa 76,Corsa 77,Corsa 78,Corsa 79,Corsa 80,Corsa 81,Corsa 82,Corsa 83,Corsa 84,Corsa 85,Corsa 86,Corsa 87,Corsa 88,Corsa 89,Corsa 90,Corsa 91,Corsa 92,Corsa 93,Corsa 94,Corsa 95,Corsa 96,Corsa 97,Corsa 98,Corsa 99,Corsa 100,Corsa 101,Corsa 102,Corsa 103,Corsa 104,Corsa 105,Corsa 106,Corsa 107,Corsa 108,Corsa 109,Corsa 110,Corsa 111,Corsa 112,Corsa 113,Corsa 114,Corsa 115,Corsa 116,Corsa 117,Corsa 118,Corsa 119,Corsa 120,Corsa 121,Corsa 122,Corsa 123,Corsa 124,Corsa 125,Corsa 126,Corsa 127,Corsa 128,Corsa 129,Corsa 130,Corsa 131,Corsa 132,Corsa 133,Corsa 134,Corsa 135,Corsa 136,Corsa 137,Corsa 138,Corsa 139,Corsa 140,Corsa 141,Corsa 142,Corsa 143,Corsa 144,Corsa 145,Corsa 146,Corsa 147,Corsa 148,Corsa 149,Corsa 150,Corsa 151,Corsa 152,Corsa 153,Corsa 154,Corsa 155,Corsa 156
Corsa 10,0,0,0,0,0,0,0,0,0,0,0,0,-34,-15,-37,-12,-30,-17,-38,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 11,0,0,0,0,0,0,0,0,0,0,0,0,-34,-15,-37,-12,-30,-17,-38,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-38,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-38,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-17,-38,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-14,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-25,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-111,-16,-29,-35,-22,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
Corsa 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,0,0,-53,-30,-12,-54,-12,-36,-29,-27,-14,-20,-15,-24,-28,-32,-22,-54,-40,-13,-38,-13,-29,-57,-31,-68,-27,-19,-17,-47,-31,-44,-68,-52,-47,-87,-90,-50,-39,-30,-30,-13,-10,-61,-36,-40,-32,-45,-25,-10,-28,-93,-31,-21,-20,-13,-63,-15,-59,-60,-42,-45,-25,-23,-20,-10,-13,-20,-12,-19,-16,-74,-24,-66,-106,-19,-60,-35,-18,-71,-17,-28,-45,-53,-30,-20,-14,-62,-22,-28,-35,-10,-25,-42,-35,-13,-10,-20,-30,-30,-86,-35,-19,-41,-20,-40,-24,-74,-40,-17,-14,-21,-17,-11,-40,-17,-47,-10,-21,-34,-37,-21,-27,-38,-26,-17,-34,-27,-19
